"","Line","Specie","mono_mix","zone","biomass","emergence_rate","pre_LERp","LERp","LER_cc","cover_crop"
"77","10","Weed","mix","Z2",3.3,3,1.1,3.61194035241702,NA,"B+Fn "
"78","10","Weed","mix","Z3",11.6,16,0.73,1.70892858851786,NA,"B+Fn "
"79","11","Faba bean","mono","Z1",9.6,4,2.4,1,NA,"Fb"
"80","11","Faba bean","mono","Z2",22.6,16,1.41,1,NA,"Fb"
"81","11","Faba bean","mono","Z3",18.9,9,2.1,1,NA,"Fb"
"82","11","Weed","mix","Z1",10.5,26,0.4,1.48200422018349,NA,"Fb"
"83","11","Weed","mix","Z2",0.4,2,0.2,0.656716427712186,NA,"Fb"
"84","11","Weed","mix","Z3",7.7,18,0.43,1.00833334865476,NA,"Fb"
"85","12","Mustard","mix","Z1",1.6,9,0.18,0.484848486501377,1.38068181983471,"M+Fb"
"86","12","Mustard","mix","Z2",37,7,5.29,27.0292201868359,28.0203706293138,"M+Fb"
"87","12","Mustard","mix","Z3",2.6,6,0.43,0.912280694736842,1.83609021854637,"M+Fb"
"88","12","Faba bean","mix","Z1",4.3,2,2.15,0.895833333333333,NA,"M+Fb"
"89","12","Faba bean","mix","Z2",9.8,7,1.4,0.991150442477876,NA,"M+Fb"
"90","12","Faba bean","mix","Z3",9.7,5,1.94,0.923809523809524,NA,"M+Fb"
"91","12","Weed","mix","Z1",13,37,0.35,1.28936275229358,NA,"M+Fb"
"92","12","Weed","mix","Z2",1.5,3,0.5,1.64179106928046,NA,"M+Fb"
"93","12","Weed","mix","Z3",6.3,26,0.24,0.571153846425824,NA,"M+Fb"
"94","13","Radish","mix","Z1",0,0,NA,NA,3.6233582679475,"R+B+Fn"
"95","13","Radish","mix","Z2",0,0,NA,NA,2.06383081465224,"R+B+Fn"
"96","13","Radish","mix","Z3",0,0,NA,NA,0,"R+B+Fn"
"97","13","Barley","mix","Z1",0.1,1,0.1,0.676691719147493,NA,"R+B+Fn"
"98","13","Barley","mix","Z2",0.5,1,0.5,0.551330799527245,NA,"R+B+Fn"
"99","13","Barley","mix","Z3",0,1,0,0,NA,"R+B+Fn"
"100","13","Fenugreek","mix","Z1",1.7,5,0.34,2.9466665488,NA,"R+B+Fn"
"101","13","Fenugreek","mix","Z2",4.4,8,0.55,1.512500015125,NA,"R+B+Fn"
"102","13","Fenugreek","mix","Z3",0,8,0,0,NA,"R+B+Fn"
"103","13","Weed","mix","Z1",11.6,30,0.39,1.41896025688073,NA,"R+B+Fn"
"104","13","Weed","mix","Z2",11.2,52,0.22,0.707233091152733,NA,"R+B+Fn"
"105","13","Weed","mix","Z3",11.5,31,0.37,0.874423967315668,NA,"R+B+Fn"
"106","14","Mustard","mono","Z1",11,30,0.37,1,NA,"M"
"107","14","Mustard","mono","Z2",8.8,45,0.2,1,NA,"M"
"108","14","Mustard","mono","Z3",15.2,32,0.48,1,NA,"M"
"109","14","Weed","mix","Z1",17.9,49,0.37,1.34057291743119,NA,"M"
"110","14","Weed","mix","Z2",9.8,43,0.23,0.748351288781363,NA,"M"
"111","14","Weed","mix","Z3",7.1,21,0.34,0.796938787969388,NA,"M"
